language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
lala1264,-,-,-,-,-,-,-,-,-,-,a,a,k,-,a,-,a,-,-,-,n,-,-,-,-,-,w,a,-,-,-,-,a,-,-,-,-
lamb1271,-,-,-,-,-,-,-,-,-,-,a,-,k,-,-,-,a,-,-,-,n,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
kaon1241,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,n,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
lenj1248,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
soli1239,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
tong1318,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,n,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
luba1250,-,-,-,-,-,-,k,-,y,-,a,a,k,-,-,-,a,-,-,-,n,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
hemb1242,-,-,-,-,-,-,-,-,-,-,-,-,k,w,a,-,a,-,-,-,n,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
sang1331,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,w,a,-,-,-,-,a,-,-,-,-
song1303,-,-,-,-,-,-,k,-,-,-,u,-,k,-,a,-,a,-,-,-,n,-,-,-,-,-,w,a,-,-,-,-,a,-,-,-,-
luba1249,-,-,-,-,-,-,m,-,-,-,u,u,k,-,a,-,a,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,a,-,-,-,-
enya1247,-,-,-,-,-,-,k,-,-,-,u,u,k,-,a,-,a,-,-,-,n,-,-,-,-,-,w,e,-,-,-,-,e,-,-,-,-
